school_name,school_code,subject,student_count,CPI,year,gender
Abington - Abington High,10505,ENGLISH LANGUAGE ARTS,70,0.961,9.0,male
Abington - Abington High,10505,MATHEMATICS,70,0.932,9.0,male
Abington - Frolio Middle School,10405,ENGLISH LANGUAGE ARTS,183,0.98,9.0,male
Abington - Frolio Middle School,10405,MATHEMATICS,185,0.7490000000000001,9.0,male
Abington - Woodsdale,10015,ENGLISH LANGUAGE ARTS,208,0.856,9.0,male
Abington - Woodsdale,10015,MATHEMATICS,207,0.789,9.0,male
Acton-Boxborough - Acton-Boxborough Reg High,6000505,ENGLISH LANGUAGE ARTS,238,0.995,9.0,male
Acton-Boxborough - Acton-Boxborough Reg High,6000505,MATHEMATICS,238,0.9890000000000001,9.0,male
Acton-Boxborough - Raymond J Grey JH,6000405,ENGLISH LANGUAGE ARTS,498,0.98,9.0,male
Acton-Boxborough - Raymond J Grey JH,6000405,MATHEMATICS,498,0.904,9.0,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ENGLISH LANGUAGE ARTS,239,0.991,9.0,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATHEMATICS,239,0.9109999999999999,9.0,male
Agawam - Agawam High,50505,ENGLISH LANGUAGE ARTS,138,0.96,9.0,male
Agawam - Agawam High,50505,MATHEMATICS,138,0.929,9.0,male
Agawam - Agawam Junior High,50405,ENGLISH LANGUAGE ARTS,364,0.9440000000000001,9.0,male
Agawam - Agawam Junior High,50405,MATHEMATICS,363,0.773,9.0,male
Agawam - Agawam Middle School,50303,ENGLISH LANGUAGE ARTS,317,0.883,9.0,male
Agawam - Agawam Middle School,50303,MATHEMATICS,316,0.815,9.0,male
Agawam - Benjamin J Phelps,50020,ENGLISH LANGUAGE ARTS,79,0.848,9.0,male
Agawam - Benjamin J Phelps,50020,MATHEMATICS,79,0.823,9.0,male
Agawam - Clifford M Granger,50010,ENGLISH LANGUAGE ARTS,55,0.909,9.0,male
Agawam - Clifford M Granger,50010,MATHEMATICS,55,0.95,9.0,male
Agawam - James Clark School,50030,ENGLISH LANGUAGE ARTS,85,0.847,9.0,male
Agawam - James Clark School,50030,MATHEMATICS,85,0.85,9.0,male
Agawam - Robinson Park,50025,ENGLISH LANGUAGE ARTS,78,0.875,9.0,male
Agawam - Robinson Park,50025,MATHEMATICS,77,0.8440000000000001,9.0,male
Amesbury - Amesbury Elementary,70005,ENGLISH LANGUAGE ARTS,66,0.867,9.0,male
Amesbury - Amesbury Elementary,70005,MATHEMATICS,66,0.792,9.0,male
Amesbury - Amesbury High,70505,ENGLISH LANGUAGE ARTS,84,0.943,9.0,male
Amesbury - Amesbury High,70505,MATHEMATICS,80,0.9159999999999999,9.0,male
Amesbury - Amesbury Middle,70013,ENGLISH LANGUAGE ARTS,326,0.929,9.0,male
Amesbury - Amesbury Middle,70013,MATHEMATICS,325,0.76,9.0,male
Amesbury - Charles C Cashman El,70010,ENGLISH LANGUAGE ARTS,96,0.898,9.0,male
Amesbury - Charles C Cashman El,70010,MATHEMATICS,95,0.8340000000000001,9.0,male
Amherst - Crocker Farm Elementary,80009,ENGLISH LANGUAGE ARTS,61,0.82,9.0,male
Amherst - Crocker Farm Elementary,80009,MATHEMATICS,62,0.746,9.0,male
Amherst - Fort River Elementary,80020,ENGLISH LANGUAGE ARTS,133,0.865,9.0,male
Amherst - Fort River Elementary,80020,MATHEMATICS,133,0.821,9.0,male
Amherst - Wildwood Elementary,80050,ENGLISH LANGUAGE ARTS,94,0.9229999999999999,9.0,male
Amherst - Wildwood Elementary,80050,MATHEMATICS,94,0.8240000000000001,9.0,male
Amherst-Pelham - Amherst Regional High,6050505,ENGLISH LANGUAGE ARTS,145,0.972,9.0,male
Amherst-Pelham - Amherst Regional High,6050505,MATHEMATICS,141,0.9470000000000001,9.0,male
Amherst-Pelham - Amherst Regional MS,6050405,ENGLISH LANGUAGE ARTS,254,0.975,9.0,male
Amherst-Pelham - Amherst Regional MS,6050405,MATHEMATICS,254,0.8740000000000001,9.0,male
Andover - Andover High,90505,ENGLISH LANGUAGE ARTS,205,0.9890000000000001,9.0,male
Andover - Andover High,90505,MATHEMATICS,207,0.983,9.0,male
Arlington - Arlington High,100505,ENGLISH LANGUAGE ARTS,141,0.991,9.0,male
