,school_name,school_code,f_teacher_count,m_teacher_count,year,percent_male
2,Abington - Abington High,10505,28.5,14.4,9.0,0.3356643356643357
4,Abington - Frolio Middle School,10405,20.4,7.9,9.0,0.27915194346289757
6,Abington - Woodsdale,10015,19.0,2.0,9.0,0.09523809523809523
14,Acton-Boxborough - Acton-Boxborough Reg High,6000505,74.0,42.2,9.0,0.36316695352839934
15,Acton-Boxborough - Raymond J Grey JH,6000405,49.2,11.2,9.0,0.18543046357615892
22,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,26.8,21.4,9.0,0.4439834024896265
24,Agawam - Agawam High,50505,51.7,38.0,9.0,0.4236343366778149
25,Agawam - Agawam Junior High,50405,41.5,16.0,9.0,0.2782608695652174
26,Agawam - Agawam Middle School,50303,42.6,4.0,9.0,0.08583690987124463
27,Agawam - Benjamin J Phelps,50020,24.0,1.0,9.0,0.04
28,Agawam - Clifford M Granger,50010,21.8,1.0,9.0,0.043859649122807015
29,Agawam - James Clark School,50030,25.8,0.0,9.0,0.0
30,Agawam - Robinson Park,50025,27.5,0.0,9.0,0.0
31,Amesbury - Amesbury Elementary,70005,23.6,1.0,9.0,0.04065040650406504
32,Amesbury - Amesbury High,70505,27.2,18.1,9.0,0.3995584988962473
33,Amesbury - Amesbury Middle,70013,36.2,19.2,9.0,0.3465703971119133
34,Amesbury - Charles C Cashman El,70010,25.6,1.0,9.0,0.03759398496240601
35,Amherst - Crocker Farm Elementary,80009,24.9,3.2,9.0,0.11387900355871887
36,Amherst - Fort River Elementary,80020,25.5,7.3,9.0,0.2225609756097561
38,Amherst - Wildwood Elementary,80050,28.1,3.0,9.0,0.09646302250803858
39,Amherst-Pelham - Amherst Regional High,6050505,49.4,37.0,9.0,0.4282407407407407
40,Amherst-Pelham - Amherst Regional MS,6050405,22.4,19.9,9.0,0.47044917257683216
41,Andover - Andover High,90505,57.3,33.7,9.0,0.37032967032967035
51,Arlington - Arlington High,100505,44.1,33.4,9.0,0.4309677419354839
63,Ashburnham-Westminster - Oakmont Regional H S,6100505,27.3,17.5,9.0,0.390625
66,Ashland - Ashland High,140505,29.1,24.1,9.0,0.45300751879699247
71,Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,36.3,56.5,9.0,0.6088362068965517
72,Athol-Royalston - Athol High,6150505,20.1,13.1,9.0,0.394578313253012
73,Athol-Royalston - Athol-Royalston Middle School,6150305,12.5,9.6,9.0,0.43438914027149317
75,Athol-Royalston - Pleasant St,6150016,12.6,1.1,9.0,0.08029197080291972
79,Atlantis Charter (District) - Atlantis Charter School,4910550,37.1,8.1,9.0,0.17920353982300882
81,Attleboro - Attleboro High,160505,58.8,55.3,9.0,0.48466257668711654
91,Auburn - Auburn Senior High,170505,27.5,24.2,9.0,0.4680851063829787
112,Bedford - Bedford High,230505,37.1,24.8,9.0,0.4006462035541195
116,Belchertown - Belchertown High,240505,27.7,18.4,9.0,0.39913232104121477
128,Belmont - Belmont High,260505,50.0,18.8,9.0,0.2732558139534884
136,Berkley - Berkley Community School,270010,35.0,0.0,9.0,0.0
137,Berkley - Berkley Middle School,270305,22.4,6.9,9.0,0.23549488054607512
139,Berkshire Hills - Monument Mt Reg High,6180505,23.6,24.0,9.0,0.5042016806722689
145,Beverly - Beverly High,300505,54.8,23.1,9.0,0.29653401797175866
151,Billerica - Billerica Memorial High School,310505,65.4,35.0,9.0,0.348605577689243
160,Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,42.3,54.3,9.0,0.562111801242236
162,Blackstone-Millville - Blackstone Millville RHS,6220505,23.0,21.4,9.0,0.48198198198198194
166,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,8060605,36.1,48.9,9.0,0.5752941176470588
308,Bourne - Bourne High,360505,26.2,20.9,9.0,0.4437367303609342
318,Braintree - Braintree High,400505,64.1,36.6,9.0,0.36345580933465743
326,Brewster - Eddy Elementary,410010,15.6,2.0,9.0,0.11363636363636363
329,Bridgewater-Raynham - Bridgewater-Raynham Reg,6250505,52.5,29.8,9.0,0.362089914945322
336,Bristol County Agricultural - Bristol County Agr High,9100705,17.8,15.6,9.0,0.46706586826347307
337,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,8100605,37.5,49.0,9.0,0.5664739884393064
340,Brockton - Brockton High,440505,148.4,112.8,9.0,0.4318529862174579
362,Brookline - Brookline High,460505,81.6,51.4,9.0,0.38646616541353385
363,Brookline - Edith C Baker,460005,35.7,8.3,9.0,0.18863636363636366
364,Brookline - Edward Devotion,460015,32.1,13.5,9.0,0.29605263157894735
365,Brookline - Heath,460025,25.0,4.9,9.0,0.1638795986622074
366,Brookline - John D Runkle,460045,25.3,8.8,9.0,0.25806451612903225
367,Brookline - Lawrence,460030,26.4,8.1,9.0,0.23478260869565215
368,Brookline - Michael Driscoll,460020,28.4,2.6,9.0,0.08387096774193549
369,Brookline - Pierce,460040,32.2,7.8,9.0,0.195
371,Brookline - William H Lincoln,460035,26.1,6.8,9.0,0.2066869300911854
372,Burlington - Burlington High,480505,39.5,37.0,9.0,0.48366013071895425
379,Cambridge - Cambridge Rindge and Latin,490506,91.5,59.0,9.0,0.3920265780730897
391,Canton - Canton High,500505,35.0,22.6,9.0,0.3923611111111111
397,Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,4320530,12.4,5.8,9.0,0.31868131868131866
398,Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,8150605,30.7,36.7,9.0,0.5445103857566765
409,Central Berkshire - Wahconah Regional High,6350505,22.7,19.0,9.0,0.45563549160671457
413,Chelmsford - Byam School,560030,29.5,0.0,9.0,0.0
414,Chelmsford - Center Elementary School,560005,27.5,0.0,9.0,0.0
415,Chelmsford - Charles D Harrington,560025,27.5,2.0,9.0,0.06779661016949153
416,Chelmsford - Chelmsford High,560505,67.1,46.0,9.0,0.4067197170645447
417,Chelmsford - Col Moses Parker Schl,560305,42.8,12.6,9.0,0.22743682310469315
419,Chelmsford - McCarthy Middle School,560310,50.7,15.8,9.0,0.23759398496240602
420,Chelmsford - South Row,560015,23.9,1.0,9.0,0.040160642570281124
421,Chelsea - Chelsea High,570505,58.8,44.5,9.0,0.430784123910939
430,Chesterfield-Goshen - New Hingham Regional Elem,6320025,13.0,1.4,9.0,0.09722222222222221
437,Chicopee - Chicopee Comprehensive HS,610510,48.8,56.7,9.0,0.5374407582938389
438,Chicopee - Chicopee High,610505,61.1,32.0,9.0,0.34371643394199786
447,City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,9.7,5.0,9.0,0.3401360544217687
451,Clinton - Clinton Senior High,640505,22.5,21.8,9.0,0.4920993227990971
453,Cohasset - Cohasset Middle/High School,650505,32.7,19.8,9.0,0.37714285714285717
454,Cohasset - Deer Hill,650005,16.0,4.0,9.0,0.2
462,Concord-Carlisle - Concord Carlisle High,6400505,47.7,44.2,9.0,0.4809575625680087
465,Danvers - Danvers High,710505,44.0,32.5,9.0,0.42483660130718953
472,Dartmouth - Dartmouth High,720505,44.0,32.5,9.0,0.42483660130718953
478,Dedham - Dedham High,730505,34.2,24.3,9.0,0.4153846153846154
484,Deerfield - Deerfield Elem,740015,28.4,3.2,9.0,0.10126582278481014
493,Dighton-Rehoboth - Dighton Middle School,6500305,21.9,8.0,9.0,0.26755852842809363
494,Dighton-Rehoboth - Dighton-Rehoboth Rhs,6500505,40.2,34.4,9.0,0.4611260053619303
495,Dighton-Rehoboth - Dorothy L Beckwith,6500310,29.0,10.0,9.0,0.2564102564102564
496,Dighton-Rehoboth - Palmer River,6500010,36.0,0.0,9.0,0.0
499,Douglas - Douglas High School,770505,21.0,20.0,9.0,0.4878048780487805
501,Dover - Chickering,780005,32.0,3.0,9.0,0.08571428571428572
502,Dover-Sherborn - Dover-Sherborn Reg High,6550505,25.7,23.7,9.0,0.4797570850202429
503,Dover-Sherborn - Dover-Sherborn Reg MS,6550405,32.5,10.8,9.0,0.2494226327944573
504,Dracut - Brookside Elementary,790035,24.8,1.7,9.0,0.06415094339622641
505,Dracut - Dracut Senior High,790505,42.7,23.8,9.0,0.35789473684210527
507,Dracut - Greenmont Avenue,790030,10.7,0.0,9.0,0.0
508,Dracut - Joseph A Campbell Elem,790020,26.5,0.0,9.0,0.0
509,Dracut - Lakeview Junior High,790410,27.3,7.8,9.0,0.2222222222222222
512,Dudley-Charlton Reg - Charlton Middle School,6580310,35.3,11.9,9.0,0.25211864406779666
513,Dudley-Charlton Reg - Dudley Elementary,6580005,22.9,0.2,9.0,0.00865800865800866
514,Dudley-Charlton Reg - Dudley Middle School,6580305,35.2,10.0,9.0,0.22123893805309733
515,Dudley-Charlton Reg - Heritage School,6580030,30.4,1.8,9.0,0.05590062111801243
517,Dudley-Charlton Reg - Shepherd Hill Reg High,6580505,41.3,37.0,9.0,0.4725415070242657
520,Duxbury - Duxbury High,820505,40.0,26.4,9.0,0.3975903614457831
523,East Bridgewater - East Bridgewater High,830505,25.8,18.0,9.0,0.4109589041095891
524,East Bridgewater - Gordon W Mitchell,830010,48.0,13.2,9.0,0.2156862745098039
526,East Longmeadow - East Longmeadow High,870505,36.4,22.0,9.0,0.3767123287671233
532,Easthampton - Easthampton High,860505,19.2,18.5,9.0,0.49071618037135273
537,Easton - Easton Middle School,880405,42.7,11.6,9.0,0.21362799263351748
539,Easton - H H Richardson School,880025,20.9,2.0,9.0,0.08733624454148473
